"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"83756",151.594453646107,0.0104009197072126,0.109328369256034,0.821129558193431,0.920861822474001,"TAS1R3"
"1855",6998.52535360424,0.0143056713617188,0.0618660857277438,0.75563961712408,0.889539376625256,"DVL1"
"54587",243.956635532401,0.0210830978147954,0.100733847546475,0.659561948695248,0.83973061089711,"MXRA8"
"54998",2599.20570276488,0.0628308036369702,0.0660635301105631,0.188805501218464,0.457863832980249,"AURKAIP1"
"81669",2192.47186128281,0.03891289981825,0.156534622314441,0.261573736680979,0.535990172290519,"CCNL2"
"148413",762.550038437418,-0.0185817751121548,0.0834713024851644,0.701656386127837,0.861100070281861,"MRPL20-AS1"
"55052",1424.00620238606,-0.0692037235059679,0.0660516720469607,0.148941068183921,0.403650247002728,"MRPL20"
"441869",45.6669199633506,-0.00954956468705426,0.1261888770561,0.818891357996243,0.920236017267061,"ANKRD65"
"64856",1138.25777146924,-0.246588625339483,0.111813010249886,0.000689259416657938,0.0206412922953268,"VWA1"
"219293",43.62428363128,0.120456619939123,0.186217809607796,0.044418309578324,0.222135180808691,"ATAD3C"
"83858",552.764568954703,0.0650791247035206,0.131543580054989,0.211379513053095,0.484135471436076,"ATAD3B"
"55210",1212.83349582476,-0.013303281119722,0.0761253944114376,0.782382993396517,0.903883166274207,"ATAD3A"
"339453",1297.69216582001,0.031098165069885,0.0700746694539851,0.516428087683797,0.749896005247635,"TMEM240"
"29101",6078.63633088319,0.0145573081325976,0.0581566562065721,0.745441277976271,0.884257222598836,"SSU72"
"643988",1443.81013313159,-0.0822072432265088,0.0831575751777422,0.117113934344914,0.358740697803826,"FNDC10"
"142678",3368.98123998836,0.0794544706538041,0.100726786442103,0.145536372680005,0.399062301605335,"MIB2"
"984",4410.21329172876,0.00889633928374435,0.0498589913047968,0.829718892312726,0.924520151065216,"CDK11B"
"728661",6929.86185624568,-0.0686854311764767,0.0629781697897841,0.143668522210537,0.396569983287007,"SLC35E2B"
"728642",3064.93927891621,0.0666578630646979,0.0712860447096364,0.176045760799571,0.441555338611467,"CDK11A"
"9906",8712.80213828592,-0.084544283274609,0.0614439743125289,0.06991724454177,0.279905135176693,"SLC35E2A"
"65220",3137.34108990753,0.0222459967660605,0.0607527335618896,0.626425779807924,0.819758455574194,"NADK"
"2782",96489.9220583893,-0.0438443139163697,0.0755091809892532,0.372284670942026,0.639201367740764,"GNB1"
"105378949",53.5602641255205,-0.0378059940169479,0.13008831215529,0.406791127741718,0.664756183346743,"GNB1-DT"
"339456",157.937324631028,-0.0260826309548588,0.107528931385986,0.584208324056887,0.795757161347781,"TMEM52"
"2563",129.530676672751,0.0169234735015846,0.102056292202734,0.721122008847531,0.871617098546538,"GABRD"
"5590",6248.32886216519,-0.0869699840503669,0.082448542019544,0.0983398455149043,0.330097683637172,"PRKCZ"
"100506504",412.788078141109,0.0209850137971373,0.082169296559042,0.665843326856026,0.843730714602167,"PRKCZ-AS1"
"199990",2576.05948495574,-0.0406531861694566,0.077176266760318,0.408615235711684,0.666048049113061,"FAAP20"
"6497",12000.6790250701,-0.0492972301150446,0.0575091000461605,0.271265318257725,0.544706180088118,"SKI"
"79906",267.784407099911,-0.00729114731745598,0.0851089079479966,0.87963689970279,0.948525382715214,"MORN1"
"11079",5207.64986183482,0.0451087375461887,0.0539706213155134,0.297946474053098,0.571388309670137,"RER1"
"5192",856.142253580794,-0.0847483029501829,0.0793224613534818,0.102090057897187,0.336619484944675,"PEX10"
"9651",1287.76425405071,0.194795087710169,0.0977943725242709,0.0021663647800144,0.0417763753600504,"PLCH2"
"55229",2734.9338620749,-0.0155069060300112,0.0604812093079086,0.733704512850125,0.877603853285054,"PANK4"
"388585",538.002936734445,-0.0429425196375821,0.125213274368748,0.369507487555916,0.636725273885055,"HES5"
"127281",1455.28460303112,0.0265792346347122,0.0629832909651598,0.566447238826846,0.782973720599022,"PRXL2B"
"79258",45.9756473767181,-0.234372617924223,0.273260099771236,0.00432836346541712,0.0622375743215333,"MMEL1"
"440556",560.242642761498,0.264185810560153,0.181610064013369,0.00361309837951275,0.0563090321941818,"PRDM16-DT"
"63976",2696.7866854634,0.28206305213831,0.143698655472438,0.00104482304837291,0.0267688593311981,"PRDM16"
"27237",147.817952811435,0.0913885359299115,0.152638616422147,0.104970522277832,0.340102019262277,"ARHGEF16"
"1953",728.712068646646,0.130238225589321,0.157619359849993,0.0472058728189878,0.229536865827571,"MEGF6"
"127262",3599.6417568475,-0.0620263587753556,0.0835936397032757,0.22560939151562,0.49892559396516,"TPRG1L"
"49856",985.358151065948,0.144419327286018,0.124520139227835,0.0271967393871254,0.174295889825824,"WRAP73"
"7161",41.8484623956765,0.0498070085252887,0.171218421056051,0.126193042381561,0.371607493225557,"TP73"
"57212",1640.85403386212,0.0557276338299845,0.102567012850964,0.281748662697226,0.556282680844276,"GFOD3P"
"148870",36.4110802486077,-0.0154287072522909,0.128196236421877,0.710982194283649,0.866512702538595,"CCDC27"
"57470",6530.17339814987,-0.0228610680133712,0.057489388869033,0.608563975526178,0.809746118053244,"LRRC47"
"9731",2282.07435812564,0.0484543365834203,0.0679864881525919,0.312348511131382,0.584577944124483,"CEP104"
